country,new_cases,total_cases,new_deaths,total_deaths
Afghanistan,103.0,36471.0,1.0,1271.0
Albania,117.0,4997.0,4.0,148.0
Algeria,0.0,27973.0,0.0,1163.0
Andorra,0.0,907.0,0.0,52.0
Angola,2.0,932.0,0.0,40.0
Anguilla,0.0,3.0,0.0,0.0
Antigua and Barbuda,0.0,86.0,0.0,3.0
Argentina,4890.0,167403.0,126.0,3082.0
Armenia,308.0,37937.0,4.0,723.0
Aruba,0.0,119.0,0.0,3.0
Australia,369.0,15304.0,6.0,167.0
Austria,132.0,20682.0,0.0,713.0
Azerbaijan,412.0,30858.0,7.0,430.0
Bahamas,65.0,447.0,0.0,11.0
Bahrain,439.0,39921.0,0.0,141.0
Bangladesh,2960.0,229185.0,35.0,3000.0
Barbados,0.0,110.0,0.0,7.0
Belarus,115.0,67366.0,5.0,543.0
Belgium,0.0,66569.0,1.0,9833.0
Belize,0.0,48.0,0.0,2.0
Benin,0.0,1770.0,0.0,35.0
Bermuda,2.0,156.0,0.0,9.0
Bhutan,0.0,99.0,0.0,0.0
Bolivia,516.0,72327.0,73.0,2720.0
Bonaire Sint Eustatius and Saba,0.0,11.0,0.0,0.0
Bosnia and Herzegovina,268.0,10766.0,3.0,297.0
Botswana,0.0,739.0,0.0,2.0
Brazil,40816.0,2483191.0,921.0,88539.0
British Virgin Islands,0.0,8.0,0.0,1.0
Brunei,0.0,141.0,0.0,3.0
Bulgaria,250.0,10871.0,8.0,355.0
Burkina Faso,6.0,1106.0,0.0,53.0
Burundi,0.0,378.0,0.0,1.0
Cambodia,1.0,226.0,0.0,0.0
Cameroon,0.0,16708.0,0.0,385.0
Canada,383.0,114980.0,11.0,8912.0
Cape Verde,26.0,2354.0,0.0,22.0
Cayman Islands,0.0,203.0,0.0,1.0
Central African Republic,0.0,4599.0,0.0,59.0
Chad,4.0,926.0,0.0,75.0
Chile,1877.0,349800.0,53.0,9240.0
China,207.0,86990.0,1.0,4657.0
Colombia,10284.0,267385.0,297.0,9074.0
Comoros,0.0,340.0,0.0,7.0
Congo,0.0,3200.0,0.0,54.0
Costa Rica,503.0,16344.0,10.0,125.0
Cote d'Ivoire,58.0,15713.0,2.0,98.0
Croatia,42.0,4923.0,1.0,140.0
Cuba,23.0,2555.0,0.0,87.0
Curacao,0.0,29.0,0.0,1.0
Cyprus,7.0,1067.0,0.0,19.0
