District,Confirmed,Active,Delta_Confirmed
Adilabad,233,218,15
Agar Malwa,80,18,0
Agra,1705,212,21
Ahmedabad,26184,3359,152
Ahmednagar,3953,1759,307
Airport Quarantine,1358,259,9
Aizawl,215,134,10
Ajmer,1741,623,47
Akola,2469,460,11
Alappuzha,1634,684,38
Aligarh,1265,605,42
Alipurduar,318,90,38
Alirajpur,136,98,7
Almora,298,84,18
Alwar,3614,2109,253
Ambala,1447,284,75
Ambedkar Nagar,196,54,5
Amethi,425,70,11
Amravati,1834,484,104
Amreli,405,194,24
Amritsar,1735,486,78
Amroha,548,234,11
Anand,450,48,10
Anantapur,12358,6877,1371
Anantnag,1258,284,25
Angul,290,61,20
Anjaw,4,4,0
Anuppur,71,24,2
Araria,524,179,48
Aravalli,303,27,1
Ariyalur,897,158,4
Arwal,483,190,22
Ashoknagar,83,10,2
Auraiya,350,187,15
Aurangabad,14168,5624,647
Ayodhya,993,375,66
Azamgarh,803,412,49
BSF Camp,59,7,0
Bagalkote,1465,670,57
Bageshwar,99,4,0
Baghpat,610,83,8
Bahraich,429,211,47
Baksa,314,123,0
Balaghat,114,50,4
Balangir,400,114,26
Balasore,914,209,29
Ballari,5720,3417,338
Ballia,1553,812,100
Balod,89,11,0
Baloda Bazar,381,65,18
Balrampur,435,138,26
Bametara,127,19,0
Banaskantha,676,165,10
Banda,298,124,21
Bandipora,678,231,3
Banka,546,142,20
Bankura,665,272,59
Banswara,176,60,17
Barabanki,1017,282,33
Baramulla,1835,459,22
Baran,128,28,4
Bareilly,1944,1249,107
Bargarh,390,66,5
Barmer,1343,555,53
Barnala,179,99,35
Barpeta,764,95,0
Barwani,535,251,101
Bastar,191,86,3
Basti,842,349,33
Bathinda,331,146,0
Beed,656,403,38
Begusarai,1567,405,70
Belagavi,2811,1969,279
Bengaluru Rural,1927,1670,49
Bengaluru Urban,51091,36224,2270
Betul,218,62,7
Bhadohi,556,324,103
Bhadradri Kothagudem,212,208,30
Bhadrak,552,85,4
Bhagalpur,2392,628,57
Bhandara,217,27,6
Bharatpur,2476,356,51
Bharuch,821,261,33
Bhavnagar,1287,350,35
Bhilwara,594,266,29
Bhind,446,29,13
Bhiwani,774,44,4
Bhojpur,1413,542,161
Bhopal,5872,2023,199
Bidar,2038,607,91
Bijapur,75,59,0
Bijnor,669,128,10
Bikaner,1869,508,0
Bilaspur,722,217,15
Birbhum,521,145,33
Bishnupur,88,30,2
Biswanath,203,87,0
Bokaro,159,61,0
Bongaigaon,479,175,0
Botad,216,64,8
Boudh,134,57,0
Budaun,350,72,3
Budgam,1228,523,45
Bulandshahr,1281,245,19
Buldhana,1156,484,40
Bundi,122,77,3
Burhanpur,469,17,2
Buxar,890,384,59
Cachar,1182,380,0
Central Delhi,184,184,0
Chamarajanagara,593,253,20
Chamba,103,33,0
Chamoli,85,3,0
Champawat,102,32,1
Champhai,13,3,0
Chandauli,856,337,-2
Chandel,39,35,0
Chandigarh,978,353,44
Chandrapur,390,150,23
Changlang,180,68,18
Charaideo,72,33,0
Charkhi Dadri,142,48,3
Chatra,313,155,32
Chengalpattu,13841,3699,493
Chennai,97575,12738,1137
Chhatarpur,312,140,9
Chhindwara,146,51,19
Chhota Udaipur,140,38,2
Chikkaballapura,1638,742,96
Chikkamagaluru,793,377,33
Chirang,87,16,0
Chitradurga,570,404,52
Chitrakoot,216,98,9
Chittoor,9080,4087,819
Chittorgarh,244,28,2
Churachandpur,236,178,51
Churu,660,169,16
Coimbatore,4344,1687,292
Cooch Behar,605,137,16
Cuddalore,2788,1045,120
Cuttack,1946,713,61
Dadra and Nagar Haveli,481,199,19
Dahod,523,390,33
Dakshin Bastar Dantewada,113,9,0
Dakshin Dinajpur,1094,282,58
Dakshina Kannada,5306,2725,208
Daman,519,158,19
Damoh,182,106,26
Dang,16,6,1
Darbhanga,762,235,21
Darjeeling,2001,589,62
Darrang,986,204,0
Datia,205,51,0
Dausa,304,40,10
Davanagere,1893,867,225
Dehradun,1530,426,50
Deogarh,84,15,2
Deoghar,187,101,30
Deoria,964,333,52
Devbhumi Dwarka,46,12,1
Dewas,425,73,7
Dhalai,606,261,0
Dhamtari,37,5,2
Dhanbad,509,295,10
Dhar,372,87,11
Dharmapuri,750,282,10
Dharwad,3731,2102,175
Dhemaji,219,50,0
Dhenkanal,201,67,1
Dholpur,1171,153,0
Dhubri,797,190,0
Dhule,2788,956,146
Dibrugarh,1146,593,0
Dima Hasao,160,13,0
Dimapur,474,404,29
Dindigul,2622,687,56
Dindori,36,5,0
Diu,68,31,0
Doda,265,132,6
Dumka,65,28,6
Dungarpur,584,74,11
Durg,677,345,22
East Champaran,1046,222,76
East Delhi,38,38,0
East Garo Hills,1,1,0
East Godavari,17739,11896,1676
East Jaintia Hills,17,15,0
East Kameng,24,22,1
East Khasi Hills,614,479,2
East Siang,56,26,1
East Sikkim,397,271,43
East Singhbhum,1635,1071,111
Ernakulam,1699,782,83
Erode,680,200,24
Etah,325,188,18
Etawah,664,205,12
Evacuees,61,0,0
Faridabad,8295,1645,198
Faridkot,271,44,9
Farrukhabad,451,119,10
Fatehabad,311,126,18
Fatehgarh Sahib,333,115,31
Fatehpur,428,166,35
Fazilka,263,101,9
Ferozepur,335,118,2
Firozabad,700,95,7
Foreign Evacuees,488,35,0
Gadag,1201,724,61
Gadchiroli,250,35,6
Gajapati,1233,482,88
Ganderbal,387,138,3
Gandhinagar,1406,342,50
Ganganagar,207,119,19
Ganjam,9746,2955,245
Garhwa,437,239,7
Gariaband,94,27,3
Gaurela Pendra Marwahi,14,4,0
Gautam Buddha Nagar,4962,679,58
Gaya,1891,778,72
Ghaziabad,4781,787,73
Ghazipur,1024,466,55
Gir Somnath,346,177,8
Giridih,386,229,3
Goalpara,276,38,0
Godda,111,90,0
Golaghat,1329,439,0
Gomati,691,274,0
Gonda,589,300,60
Gondia,253,26,0
Gopalganj,859,176,42
Gorakhpur,1910,1013,176
Gumla,301,197,7
Guna,67,12,2
Guntur,12816,5981,1124
Gurdaspur,490,146,34
Gurugram,8912,1018,91
Gwalior,2167,595,79
Hailakandi,827,162,0
